Số 92





	“Tên của bạn là Harvest.”



	Quả cầu đen rung lên theo lời của Arcane. Chất đen bốc lên thành khói khi các liên kết phân tử nới lỏng. Con quái vật sinh ra từ bóng tối nói bằng giọng u ám.



	“Tôi là Harvest.”



	“Tôi sẽ chạy một số thử nghiệm. Hãy giữ nó trong ống nghiệm trong thời gian này.”



	Arcane chỉ vào một ống thủy tinh cao ba mét. Nó hẹp đến mức con người thậm chí không thể sống sót trong mười phút, nhưng những sinh vật ma thuật không có khái niệm về sự vĩnh cửu của thời gian.



	Đêm đó, Canis và Arin lẻn vào phòng thí nghiệm. Rõ ràng là họ rất lo lắng vì chưa nhận được sự cho phép của Arcane. Tuy nhiên, cảm giác đó đã biến mất ngay khi họ tìm thấy Harvest.



	Một cái bóng hình người cao hai mét.



	Vòng eo thon thả và bờ vai rộng đầy sức sống của cô khiến trái tim Canis rung động.



	“Đây là của chủ nhân…….”



	Tinh hoa của sinh học ma thuật mà phù thủy vĩ đại đã hoàn thiện trong hơn 150 năm. Hơn nữa, nó là một sinh vật ma thuật thừa hưởng ký ức của Arcane và cũng được trang bị trí thông minh.



	Không giống như Canis, Arin rùng mình như thể cô ấy vừa nhìn thấy một con quái vật.



	“Ugh. Thật kỳ lạ. Tôi nghĩ nó sẽ giống với con người.”



	"Ai sẽ sợ một sinh vật ma thuật nếu nó không có vẻ đáng sợ? Theo tôi, hình dạng này thực sự tuyệt vời. Nó thiên về chiến đấu."



	“Nhưng tôi vẫn lạ lắm…….”



	Canis không quan tâm. Nếu cô ấy không thích thì đó là điều tốt.



	'Đợi đã, Harvest. Ta sẽ là chủ nhân của ngươi.'



	Arcane nói rằng anh ta sẽ chọn chủ nhân của Harvest giữa anh ta và Arin. Tất nhiên, Arin là một người bạn quý giá, nhưng không có chỗ cho sự thỏa hiệp trong vấn đề này. Anh ta chắc chắn sẽ chứng minh giá trị của mình thông qua sự cạnh tranh thân thiện.



	“Kanis, chúng ta đi thôi. Có lẽ Master sẽ đến.”



	“Hả? Ồ, được thôi.”



	Arin đi theo Canis khi anh tắt đèn và đi ra ngoài. Sau đó, cô giật mình quay lại nhìn. Cô có thể cảm nhận được cảm xúc bùng nổ của Harvest đang rung động.



	"Mẹ!"



	Arin chạy ra khỏi phòng và không bao giờ quay lại phòng thí nghiệm nữa. Tuy nhiên, với tư cách là người bị nhốt trong nhà kho của Radum khi còn nhỏ, cô không thể để Harvest một mình như thế này.



	Khi mọi người đã ngủ, Arin lấy hết can đảm và đi đến phòng thí nghiệm. Harvest được khóa trong tủ kính, giống như trước.



	“Bạn có cảm thấy rất bực bội không?”



	Khi không có tiếng trả lời, Arin nhìn qua cơ cấu của ống thủy tinh và tìm thấy công tắc.



	“Tôi có thể thả anh ra một lát được không?”



	“Tại sao bạn lại cảm thấy bực bội thế?”



	Arin giật mình quay lại. Đó là giọng nói lạnh lùng, tự nhiên gợi lên nỗi sợ hãi.



	“Anh đã bị nhốt một tháng rồi.”



