Số 248





	Sự im lặng bao trùm nơi cơn gió đã đi qua.



	Các sinh viên đều không nói nên lời. Dante, người được coi là tài năng nhất vương quốc, đã phải khuất phục trước đòn tấn công dữ dội của Sirone diễn ra chỉ trong 5 phút.



	“Cái gì? Có thật không? Dante đó…….”



	Một học sinh đột nhiên đứng dậy và hét lên.



	“Shirone đã hạ gục nó rồi! Cô ấy đã hạ gục Dante rồi!”



	Sau đó, như thể đã hứa, sân tập tràn ngập tiếng reo hò.



	“Như vậy có phải là quá thiên vị không? Không phải là ngay từ đầu chúng ta đã không có duyên với nhau sao?”



	“Ngay cả Dante cũng không thể làm gì nếu bị Sirone bắt được. Ngay từ đầu tôi đã biết Sirone sẽ thắng!”



	Các học viên đều nói một câu. Trong số tất cả các học viên của Học viện Ma thuật Vương quốc, kỹ năng phòng thủ của Dante được coi là tốt nhất. Dante phấn khích khi bị Sirone tấn công mà thậm chí không thể phản công đúng cách cũng là điều dễ hiểu.



	Một bức tường đã bị phá vỡ một lần thì không thể bị phá vỡ lần thứ hai sao?



	Cuộc chiến vẫn chưa kết thúc, nhưng xét theo diễn biến trận chiến cho đến giờ thì có vẻ như Shirone đã chiến thắng.



	Khi cảm xúc của vô số người sôi sục, những suy đoán nóng hổi dâng lên tận trời. Những người duy nhất giữ được bình tĩnh là Alpheus và Olivia, những nhân vật chính ẩn giấu của cuộc chiến này.



	Đây là một diễn biến bất ngờ ngay từ đầu, ngay cả với cả hai người. Olivia không ngờ Dante lại dễ dàng quỳ xuống như vậy, và Alpheus thì bất ngờ trước đòn tấn công chớp nhoáng của Sirone.



	Nhưng đây là thế giới phép thuật. Không, ngay cả khi không phải phép thuật, mọi cuộc cạnh tranh trên thế giới này đều có tính tương đối.



	“Phù thủy…….”



	Alpheus chọn từ ngữ rất cẩn thận, như thể anh đang định nghĩa điều gì đó quan trọng.



	“Anh ta là một con người vô nhân đạo.”



	“…….”



	Olivia im lặng. Không còn cuộc trò chuyện nào với Dante nữa sau khi anh ta bị đánh.



	“Phần lớn nhân loại ngay cả Linh Vực cũng không thể tiến vào, có thể nói một khi tiến vào Ma Học Viện, đã siêu việt người thường trình độ.”



	Đôi mắt của Olivia trở nên dữ tợn. Nếu bạn nghĩ ngược lại về lời nói của Alpheus, điều đó có nghĩa là ngay cả Dante vĩ đại nhất trên thế giới cũng chỉ là một học sinh tại một trường học phép thuật.



	“Thì sao? Dante vẫn chưa thua đâu.”



	Alpheus không để ý tới anh ta và tiếp tục nói.



	“Nhưng… khi bạn tập hợp những đứa trẻ đã vượt qua phạm trù con người, một điều rất thú vị sẽ xảy ra. Trong số chúng, một người lại vượt qua. Chúng cạnh tranh ở cấp độ cao hơn, và ở đó, một người lại nổi bật.”



	Trái với mong đợi của Olivia, Alpheus không lên tiếng hạ thấp Dante. Anh đang suy ngẫm về cuộc đời mình thông qua cuộc đối đầu giữa hai học sinh đã vượt qua giới hạn của người thường.



