Số 323





	Khi đến nhà Karmis, Sirone kiểm tra lại trang phục rồi bước về phía cổng vòm của cổng chính.



	Giữa những song sắt trắng là những khu vườn tự do đặc trưng của Karmis.



	Những người lính canh vẫn còn ở đó với ánh mắt sắc bén.



	Đúng như dự đoán, khi Shirone tiến lại gần, tay phải của anh ta không chút do dự di chuyển đến chuôi kiếm trên thắt lưng.



	“Dừng lại. Điều gì đưa anh đến đây?”



	Điểm khác biệt duy nhất so với nửa năm trước là anh ấy đã sử dụng kính ngữ.



	Những người lính canh gác tại các dinh thự quý tộc về cơ bản thay ca bốn giờ một lần và địa điểm thay ca của họ cũng thay đổi hàng tháng, do đó lính canh thời đó không thể có mặt ở đây.



	Tuy nhiên, lý do khiến tôi không thể đối xử bất cẩn với Shirone là vì tôi cảm nhận được một lời cầu nguyện phi thường từ cô ấy, khác hẳn với lời cầu nguyện của một tên tội phạm.



	Sau khi theo học trường phép thuật được một năm, ngoại hình của Shirone cũng mất đi phần nào hình ảnh một cậu bé đến từ thung lũng miền núi.



	Đặc biệt, sức mạnh tinh thần cao độ được nâng cao thông qua kinh nghiệm và quá trình rèn luyện thực chiến đã tỏa ra một luồng hào quang mà ngay cả những người lính canh không biết gì về phép thuật cũng có thể cảm nhận được.



	“Đây là bạn của Amy. Amy có ở bên trong không?”



	Những người lính nghiêng đầu vẻ bối rối, sau đó nhìn nhau và ra hiệu bằng mắt.



	Shirone đã bước vào phòng của Amy, nơi vốn là lãnh thổ của Geumnam, cách đây nửa năm.



	Nhưng kể từ ngày đó, không còn trường hợp nào bạn trai của Amy được phép vào nữa nên việc những người bảo vệ, những người không biết về vụ việc vào thời điểm đó, không thể tin được là điều dễ hiểu.



	“Hôm nay không có khách nào có đặt chỗ. Nếu anh có việc gì, xin hãy đi riêng.”



	Câu trả lời đúng như mong đợi.



	Shirone quay lại và chép môi.



	Tôi đến đây với suy nghĩ rằng mình sẽ đủ may mắn để được vào ngay, nhưng mọi chuyện không như ý muốn, nên tôi không còn cách nào khác ngoài việc viết một lá thư và gửi đến dinh thự.



	“Được rồi. Cho tôi vào.”



	Đúng lúc đó, một giọng nói chào đón vang lên từ bên trong cổng chính.



	Khi Shirone quay lại lần nữa, Adele, quản gia trưởng của gia đình Karmis, đang đứng đó với khuôn mặt tươi cười.



	Những người lính canh đứng thẳng dậy.



	Đối với những người sống cùng nhau trong dinh thự, Adele với khuôn mặt hiền hậu trông giống như một sứ giả từ địa ngục.



	Adele, người dựa vào cây gậy đi qua cổng chính, dừng lại trước mặt Sirone và nhìn vào mắt cô.



	Shirone, người đã nhớ lại những ký ức của nửa năm trước, đã chuẩn bị tinh thần trước.



	Lần đầu tiên tôi trải nghiệm kỹ thuật ấn mắt.



	Là người đứng đầu gia tộc Karmis, bạn phải hết sức cảnh giác vì có thể bạn chưa làm tốt nhất có thể.



	Nhưng Adele không hề biểu lộ chút kỹ thuật nào. Cô ấy chỉ cúi chào tôi một góc vuông và lịch sự chào tôi.



	“Chào mừng, Ngài Shirone.”


